,box_name,channel_name,time,value,label
22465,Box0,Magnet Z,3/23/2020 15:21,-20.87,2 people
22466,Box0,Magnet Y,3/23/2020 15:21,-20.75,2 people
22467,Box0,Magnet X,3/23/2020 15:21,9.375,2 people
22468,Box0,Accel Z,3/23/2020 15:21,9.41,2 people
22469,Box0,Accel Y,3/23/2020 15:21,1.2,2 people
22470,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22471,Box0,Humidity,3/23/2020 15:21,22.37,2 people
22472,Box0,Approx. Altitude,3/23/2020 15:21,-57.02,2 people
22473,Box0,Pressure,3/23/2020 15:21,1020.117,2 people
22474,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22475,Box0,C,3/23/2020 15:21,616,2 people
22476,Box0,B,3/23/2020 15:21,147,2 people
22477,Box0,G,3/23/2020 15:21,168,2 people
22478,Box0,R,3/23/2020 15:21,323,2 people
22479,Box0,Lumosity,3/23/2020 15:21,52,2 people
22480,Box0,Color Temp (K),3/23/2020 15:21,3051,2 people
22481,Box0,Audio,3/23/2020 15:21,0.327,2 people
22482,Box0,PIR,3/23/2020 15:21,1,2 people
22447,Box0,Magnet Z,3/23/2020 15:21,-20.5,2 people
22448,Box0,Magnet Y,3/23/2020 15:21,-20,2 people
22449,Box0,Magnet X,3/23/2020 15:21,9.75,2 people
22450,Box0,Accel Z,3/23/2020 15:21,9.46,2 people
22451,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22452,Box0,Accel X,3/23/2020 15:21,2.18,2 people
22453,Box0,Humidity,3/23/2020 15:21,22.382,2 people
22454,Box0,Approx. Altitude,3/23/2020 15:21,-57.073,2 people
22455,Box0,Pressure,3/23/2020 15:21,1020.124,2 people
22456,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22457,Box0,C,3/23/2020 15:21,613,2 people
22458,Box0,B,3/23/2020 15:21,147,2 people
22459,Box0,G,3/23/2020 15:21,167,2 people
22460,Box0,R,3/23/2020 15:21,322,2 people
22461,Box0,Lumosity,3/23/2020 15:21,51,2 people
22462,Box0,Color Temp (K),3/23/2020 15:21,3057,2 people
22463,Box0,Audio,3/23/2020 15:21,0.264,2 people
22464,Box0,PIR,3/23/2020 15:21,1,2 people
22429,Box0,Magnet Z,3/23/2020 15:21,-21.69,2 people
22430,Box0,Magnet Y,3/23/2020 15:21,-20,2 people
22431,Box0,Magnet X,3/23/2020 15:21,10.875,2 people
22432,Box0,Accel Z,3/23/2020 15:21,9.34,2 people
22433,Box0,Accel Y,3/23/2020 15:21,1.18,2 people
22434,Box0,Accel X,3/23/2020 15:21,2.23,2 people
22435,Box0,Humidity,3/23/2020 15:21,22.358,2 people
22436,Box0,Approx. Altitude,3/23/2020 15:21,-57.1,2 people
22437,Box0,Pressure,3/23/2020 15:21,1020.127,2 people
22438,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22439,Box0,C,3/23/2020 15:21,606,2 people
22440,Box0,B,3/23/2020 15:21,144,2 people
22441,Box0,G,3/23/2020 15:21,164,2 people
22442,Box0,R,3/23/2020 15:21,319,2 people
22443,Box0,Lumosity,3/23/2020 15:21,49,2 people
22444,Box0,Color Temp (K),3/23/2020 15:21,3043,2 people
22445,Box0,Audio,3/23/2020 15:21,0.166,2 people
22446,Box0,PIR,3/23/2020 15:21,1,2 people
22411,Box0,Magnet Z,3/23/2020 15:21,-19.69,2 people
22412,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22413,Box0,Magnet X,3/23/2020 15:21,10.875,2 people
22414,Box0,Accel Z,3/23/2020 15:21,9.38,2 people
22415,Box0,Accel Y,3/23/2020 15:21,1.17,2 people
22416,Box0,Accel X,3/23/2020 15:21,2.24,2 people
22417,Box0,Humidity,3/23/2020 15:21,22.347,2 people
22418,Box0,Approx. Altitude,3/23/2020 15:21,-56.967,2 people
22419,Box0,Pressure,3/23/2020 15:21,1020.153,2 people
22420,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22421,Box0,C,3/23/2020 15:21,554,2 people
22422,Box0,B,3/23/2020 15:21,127,2 people
22423,Box0,G,3/23/2020 15:21,146,2 people
22424,Box0,R,3/23/2020 15:21,305,2 people
22425,Box0,Lumosity,3/23/2020 15:21,38,2 people
22426,Box0,Color Temp (K),3/23/2020 15:21,2886,2 people
22427,Box0,Audio,3/23/2020 15:21,0.093,2 people
22428,Box0,PIR,3/23/2020 15:21,1,2 people
22393,Box0,Magnet Z,3/23/2020 15:21,-20.5,2 people
22394,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22395,Box0,Magnet X,3/23/2020 15:21,9.75,2 people
22396,Box0,Accel Z,3/23/2020 15:21,9.37,2 people
22397,Box0,Accel Y,3/23/2020 15:21,1.18,2 people
22398,Box0,Accel X,3/23/2020 15:21,2.2,2 people
22399,Box0,Humidity,3/23/2020 15:21,22.335,2 people
22400,Box0,Approx. Altitude,3/23/2020 15:21,-57.094,2 people
22401,Box0,Pressure,3/23/2020 15:21,1020.126,2 people
22402,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22403,Box0,C,3/23/2020 15:21,554,2 people
22404,Box0,B,3/23/2020 15:21,128,2 people
22405,Box0,G,3/23/2020 15:21,147,2 people
22406,Box0,R,3/23/2020 15:21,305,2 people
22407,Box0,Lumosity,3/23/2020 15:21,39,2 people
22408,Box0,Color Temp (K),3/23/2020 15:21,2891,2 people
22409,Box0,Audio,3/23/2020 15:21,0.264,2 people
22410,Box0,PIR,3/23/2020 15:21,1,2 people
22375,Box0,Magnet Z,3/23/2020 15:21,-20.06,2 people
22376,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22377,Box0,Magnet X,3/23/2020 15:21,10.562,2 people
22378,Box0,Accel Z,3/23/2020 15:21,9.43,2 people
22379,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22380,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22381,Box0,Humidity,3/23/2020 15:21,22.324,2 people
22382,Box0,Approx. Altitude,3/23/2020 15:21,-57.1,2 people
22383,Box0,Pressure,3/23/2020 15:21,1020.127,2 people
22384,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22385,Box0,C,3/23/2020 15:21,556,2 people
22386,Box0,B,3/23/2020 15:21,129,2 people
22387,Box0,G,3/23/2020 15:21,148,2 people
22388,Box0,R,3/23/2020 15:21,306,2 people
22389,Box0,Lumosity,3/23/2020 15:21,39,2 people
22390,Box0,Color Temp (K),3/23/2020 15:21,2899,2 people
22391,Box0,Audio,3/23/2020 15:21,0.225,2 people
22392,Box0,PIR,3/23/2020 15:21,1,2 people
22357,Box0,Magnet Z,3/23/2020 15:21,-21.25,2 people
22358,Box0,Magnet Y,3/23/2020 15:21,-20,2 people
22359,Box0,Magnet X,3/23/2020 15:21,9.062,2 people
22360,Box0,Accel Z,3/23/2020 15:21,9.41,2 people
22361,Box0,Accel Y,3/23/2020 15:21,1.2,2 people
22362,Box0,Accel X,3/23/2020 15:21,2.2,2 people
22363,Box0,Humidity,3/23/2020 15:21,22.335,2 people
